Tree_Sp_Name,Eq_1,Eq_2,Eq_3,Eq_4,Eq_5,Notes 
Xenochrophis_schnurrenbergeri,,,,,,
Xenochrophis_melanzostus,,,,,,
Xenochrophis_bellula,,,,,,
Xenochrophis_tytleri,,,,,,
Pararhabdophis_chapaensis,,,,,,
Macropisthodon_rudis,,,,,,
Macropisthodon_rhodomelas,,,,,,
Macropisthodon_plumbicolor,,,,,,
Macropisthodon_flaviceps,,,,,,
Natriciteres_bipostocularis,,,,,,
Iguanognathus_werneri,,,,,,
Parahelicops_annamensis,,,,,,
Hydrablabes_periops,,,,,,
Hydrablabes_praefrontalis,,,,,,
Anoplohydrus_aemulans,,,,,,
Tropidonophis_punctiventris,,,,,,
Tropidonophis_statistictus,,,,,,
Trachischium_laeve,,,,,,
Hebius_khasiense,,,,,,
Hebius_frenatum,,,,,,
Hebius_modestum,,,,,,
Hebius_pealii,,,,,,
Hebius_groundwateri,,,,,,
Hebius_sanguineum,,,,,,
Hebius_ishigakiense,,,,,,
Hebius_bitaeniatum,,,,,,
Hebius_kerinciense,,,,,,
Hebius_optatum,,,,,,
Hebius_octolineatum,,,,,,
Hebius_metusium,,,,,,
Hebius_taronense,,,,,,
Hebius_xenura,,,,,,
Hebius_sarawacense,,,,,,
Hebius_andreae,,,,,,
Hebius_nicobariense,,,,,,
Hebius_atemporale,,,,,,
Hebius_arquus,,,,,,
Hebius_concelarum,,,,,,
Hebius_viperinum,,,,,,
Hebius_celebicum,,,,,,
Herpetoreas_burbrinki,,,,,,
Opisthotropis_balteata,,,,,,
Opisthotropis_rugosa,,,,,,
Opisthotropis_tamdaoensis,,,,,,
Opisthotropis_kikuzatoi,,,,,,
Opisthotropis_boonsongi,,,,,,
Opisthotropis_daovantieni,,,,,,
Opisthotropis_cucae,,,,,,
Opisthotropis_maculosa,,,,,,
Opisthotropis_guangxiensis,,,,,,
Opisthotropis_atra,,,,,,
Thamnophis_sauritus,,,,,,
Thamnophis_angustirostris,,,,,,
Thamnophis_valida,,,,,,
Virginia_striatula,,,,,,
Seminatrix_pygaea,,,,,,
Regina_rigida,,,,,,
Regina_alleni,,,,,,
Hologerrhum_dermali,,,,,,
Sinonatrix_aequifasciata,,,,,,
Sinonatrix_yunnanensis,,,,,,
Sinonatrix_annularis,,,,,,
Sinonatrix_percarinata,,,,,,
Aspidura_deraniyagalae,,,,,,
Aspidura_copei,,,,,,
Aspidura_drummondhayi,,,,,,
Poecilopholis_cameronensis,,,,,,
Atractaspis_battersbyi,,,,,,
Atractaspis_phillipsi,,,,,,
Atractaspis_magrettii,,,,,,
Xenocalamus_michellii,,,,,,
Amblyodipsas_rodhaini,,,,,,
Amblyodipsas_katangensis,,,,,,
Aparallactus_moeruensis,,,,,,
Aparallactus_nigriceps,,,,,,
Polemon_gracilis,,,,,,
Polemon_griseiceps,,,,,,
Gonionotophis_laurenti,,,,,,
Gonionotophis_gabouensis,,,,,,
Gonionotophis_egbensis,,,,,,
Gonionotophis_chanleri,,,,,,
Gonionotophis_guirali,,,,,,
Gonionotophis_nyassae,,,,,,
Gonionotophis_savorgnani,,,,,,
Gonionotophis_stenophthalmus,,,,,,
Gonionotophis_poensis,,,,,,
Gonionotophis_vernayi,,,,,,
Gonionotophis_capensis,,,,,,
Gonionotophis_crossi,,,,,,
Boaedon_maculatus,,,,,,
Chamaelycus_christyi,,,,,,
Chamaelycus_werneri,,,,,,
Chamaelycus_parkeri,,,,,,
Lycodonomorphus_subtaeniatus,,,,,,
Pseudoboodon_sandfordorum,,,,,,
Lycophidion_pembanum,,,,,,
Lycophidion_meleagris,,,,,,
Lycophidion_hellmichi,,,,,,
Lycophidion_nanus,,,,,,
Rhagerhis_moilensis,,,,,,
Psammophis_phillipsi,,,,,,
Psammophis_occidentalis,,,,,,
Psammophylax_acutus,,,,,,
Compsophis_fatsibe,,,,,,
Compsophis_vinckei,,,,,,
Thamnosophis_mavotenda,,,,,,
Liopholidophis_oligolepis,,,,,,
Liopholidophis_baderi,,,,,,
Pseudoxyrhopus_kely,,,,,,
Pseudoxyrhopus_ankafinaensis,,,,,,
Pseudoxyrhopus_analabe,,,,,,
Liophidium_pattoni,,,,,,
Liophidium_maintikibo,,,,,,
Ithycyphus_blanci,,,,,,
Langaha_alluaudi,,,,,,
Phisalixella_tulearensis,,,,,,
Phisalixella_iarakaensis,,,,,,
Lycodryas_cococola,,,,,,
Lycodryas_inornatus,,,,,,
Madagascarophis_fuchsi,,,,,,
Brygophis_coulangesi,,,,,,
Calliophis_beddomei,,,,,,
